Platform,Region,Instance,On.Demand_Hour,RI_effective_hourly_rate,Discount
Linux,US East (N. Virginia),m5a.large,0.08600,0.05180,0.39769
Linux,US East (N. Virginia),t2.large,0.09280,0.05480,0.40951
Linux,US East (N. Virginia),m4.4xlarge,0.80000,0.47196,0.41005
Linux,US East (N. Virginia),m5.4xlarge,0.76800,0.46037,0.40057
Linux,US East (N. Virginia),c4.8xlarge,1.59100,0.96599,0.39284
Linux,US East (N. Virginia),t3.small,0.02080,0.01236,0.40556
Linux,US East (N. Virginia),t2.2xlarge,0.37120,0.21897,0.41009
Linux,US East (N. Virginia),m5.2xlarge,0.38400,0.23018,0.40057
Linux,US East (N. Virginia),r5.large,0.12600,0.07579,0.39853
Linux,US East (N. Virginia),c5.4xlarge,0.68000,0.40800,0.40001
Linux,US East (N. Virginia),t3.medium,0.04160,0.02484,0.40281
Linux,US East (N. Virginia),m5a.2xlarge,0.34400,0.20620,0.40059
Linux,US East (N. Virginia),t3a.small,0.01880,0.01119,0.40460
Linux,US East (N. Virginia),c5ad.8xlarge,1.37600,0.82579,0.39987
Linux,US East (N. Virginia),c5d.4xlarge,0.76800,0.46037,0.40057
Linux,US East (N. Virginia),c5.xlarge,0.17000,0.10203,0.39984
Linux,US East (N. Virginia),c5.large,0.08500,0.05146,0.39463
Linux,US East (N. Virginia),c5ad.2xlarge,0.34400,0.20620,0.40059
Linux,US East (N. Virginia),m5d.large,0.11300,0.06790,0.39908
Linux,US East (N. Virginia),t3.large,0.08320,0.04969,0.40281
Linux,US East (N. Virginia),m5.12xlarge,2.30400,1.38221,0.40008
Linux,US East (N. Virginia),t2.xlarge,0.18560,0.10959,0.40951
Linux,US East (N. Virginia),i3.xlarge,0.31200,0.20237,0.35138
Linux,US East (N. Virginia),i3.4xlarge,1.24800,0.81159,0.34968
Linux,US East (N. Virginia),c5n.large,0.10800,0.06442,0.40352
Linux,US East (N. Virginia),c3.xlarge,0.21000,0.12743,0.39319
Linux,US East (N. Virginia),c5a.2xlarge,0.30800,0.18435,0.40146
Linux,US East (N. Virginia),c4.large,0.10000,0.06002,0.39977
Linux,US East (N. Virginia),t3.micro,0.01040,0.00618,0.40556
Linux,US East (N. Virginia),c5ad.4xlarge,0.68800,0.41239,0.40059
Linux,US East (N. Virginia),c5d.18xlarge,3.45600,2.07376,0.39995
Linux,US East (N. Virginia),c4.2xlarge,0.39800,0.24200,0.39195
Linux,US East (N. Virginia),c4.4xlarge,0.79600,0.48355,0.39252
Linux,US East (N. Virginia),c3.2xlarge,0.42000,0.25286,0.39796
Linux,US East (N. Virginia),m4.2xlarge,0.40000,0.23604,0.40991
Linux,US East (N. Virginia),m5d.xlarge,0.22600,0.13581,0.39908
Linux,US East (N. Virginia),m5ad.large,0.10300,0.06194,0.39868
Linux,US East (N. Virginia),i3.2xlarge,0.62400,0.40585,0.34959
Linux,US East (N. Virginia),c5.18xlarge,3.06000,1.83604,0.39999
Linux,US East (N. Virginia),m5d.4xlarge,0.90400,0.54223,0.40018
Linux,US East (N. Virginia),c3.large,0.10500,0.06321,0.39796
Linux,US East (N. Virginia),c5.2xlarge,0.34000,0.20405,0.39984
Linux,US East (N. Virginia),m5d.8xlarge,1.80800,1.08435,0.40025
Linux,US East (N. Virginia),c5ad.xlarge,0.17200,0.10360,0.39769
Linux,US East (N. Virginia),c5d.9xlarge,1.72800,1.03638,0.40024
Linux,US East (N. Virginia),m3.medium,0.06700,0.04109,0.38676
Linux,US East (N. Virginia),m5.xlarge,0.19200,0.11565,0.39766
Linux,US East (N. Virginia),c4.xlarge,0.19900,0.12050,0.39446
Linux,US East (N. Virginia),c5d.xlarge,0.19200,0.11565,0.39766
Linux,US East (N. Virginia),t3.2xlarge,0.33280,0.19862,0.40320
Linux,US East (N. Virginia),r3.xlarge,0.33300,0.18035,0.45840
Linux,US East (N. Virginia),m5d.2xlarge,0.45200,0.27162,0.39908
Linux,US East (N. Virginia),c5d.2xlarge,0.38400,0.23018,0.40057
Linux,US East (N. Virginia),t2.medium,0.04640,0.02740,0.40951
Linux,US East (N. Virginia),t2.small,0.02300,0.01365,0.40655
Linux,US East (N. Virginia),t3.xlarge,0.16640,0.09936,0.40290
Linux,US East (N. Virginia),t3.nano,0.00520,0.00320,0.38497
